#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,flight_id,status
,50,50,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:59:20Z,17,fueling,operation_data,IB8804,on-time
,51,51,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:40:20Z,14,baggage,operation_data,IB8804,on-time
,52,52,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:53:20Z,43,catering,operation_data,IB8804,on-time
,53,53,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:32:20Z,9,boarding,operation_data,IB8804,on-time
,54,54,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:32:20Z,11,disembark,operation_data,IB6511,on-time
,55,55,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:26:20Z,32,cleaning,operation_data,IB6511,on-time
,56,56,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:58:20Z,19,fueling,operation_data,IB6511,delayed
,57,57,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:18:20Z,27,baggage,operation_data,IB6511,on-time
,58,58,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T11:14:20Z,50,catering,operation_data,IB6511,on-time
,59,59,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:41:20Z,44,boarding,operation_data,IB6511,on-time
,60,60,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:31:20Z,31,disembark,operation_data,IB2070,on-time
,61,61,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:50:20Z,15,cleaning,operation_data,IB2070,on-time
,62,62,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:50:20Z,31,fueling,operation_data,IB2070,on-time
,63,63,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:05:20Z,36,baggage,operation_data,IB2070,delayed
,64,64,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:43:20Z,11,catering,operation_data,IB2070,on-time
,65,65,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T08:21:20Z,18,boarding,operation_data,IB2070,on-time
,66,66,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T11:46:20Z,24,disembark,operation_data,IB8996,delayed
,67,67,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T01:28:20Z,49,cleaning,operation_data,IB8996,on-time
,68,68,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:42:20Z,7,fueling,operation_data,IB8996,on-time
,69,69,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:29:20Z,8,baggage,operation_data,IB8996,on-time
,70,70,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T08:04:20Z,12,catering,operation_data,IB8996,on-time
,71,71,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:03:20Z,6,boarding,operation_data,IB8996,on-time
,72,72,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T01:49:20Z,41,disembark,operation_data,IB4863,on-time
,73,73,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:21:20Z,12,cleaning,operation_data,IB4863,delayed
,74,74,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:07:20Z,6,fueling,operation_data,IB4863,on-time
,75,75,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:12:20Z,23,baggage,operation_data,IB4863,on-time
,76,76,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:15:20Z,22,catering,operation_data,IB4863,delayed
,77,77,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:37:20Z,21,boarding,operation_data,IB4863,delayed
,78,78,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:57:20Z,23,disembark,operation_data,IB4480,on-time
,79,79,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:56:20Z,9,cleaning,operation_data,IB4480,on-time
,80,80,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:12:20Z,48,fueling,operation_data,IB4480,on-time
,81,81,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:09:20Z,13,baggage,operation_data,IB4480,delayed
,82,82,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:57:20Z,28,catering,operation_data,IB4480,on-time
,83,83,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:54:20Z,15,boarding,operation_data,IB4480,on-time
,84,84,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:40:20Z,47,disembark,operation_data,IB9159,on-time
,85,85,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:15:20Z,21,cleaning,operation_data,IB9159,delayed
,86,86,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:30:20Z,44,fueling,operation_data,IB9159,delayed
,87,87,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T15:33:20Z,36,baggage,operation_data,IB9159,on-time
,88,88,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:58:20Z,46,catering,operation_data,IB9159,on-time
,89,89,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T08:55:20Z,36,boarding,operation_data,IB9159,on-time
,90,90,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:05:20Z,47,disembark,operation_data,IB2468,on-time
,91,91,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:50:20Z,34,cleaning,operation_data,IB2468,on-time
,92,92,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:44:20Z,15,fueling,operation_data,IB2468,on-time
,93,93,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:36:20Z,14,baggage,operation_data,IB2468,on-time
,94,94,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:55:20Z,11,catering,operation_data,IB2468,delayed
,95,95,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:00:20Z,36,boarding,operation_data,IB2468,on-time
,96,96,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:50:20Z,13,disembark,operation_data,IB1318,on-time
,97,97,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:55:20Z,14,cleaning,operation_data,IB1318,on-time
,98,98,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:58:20Z,50,fueling,operation_data,IB1318,on-time
,99,99,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T22:57:20Z,26,baggage,operation_data,IB1318,on-time
,100,100,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T15:26:20Z,11,catering,operation_data,IB1318,delayed
,101,101,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:35:20Z,43,boarding,operation_data,IB1318,on-time
,102,102,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:50:20Z,9,disembark,operation_data,IB5906,on-time
,103,103,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:07:20Z,41,cleaning,operation_data,IB5906,on-time
,104,104,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:22:20Z,5,fueling,operation_data,IB5906,on-time
,105,105,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:40:20Z,26,baggage,operation_data,IB5906,on-time
,106,106,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:04:20Z,21,catering,operation_data,IB5906,on-time
,107,107,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:46:20Z,39,boarding,operation_data,IB5906,on-time
,108,108,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:36:20Z,47,disembark,operation_data,IB8364,on-time
,109,109,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:00:20Z,25,cleaning,operation_data,IB8364,on-time
,110,110,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T22:08:20Z,12,fueling,operation_data,IB8364,on-time
,111,111,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:59:20Z,50,baggage,operation_data,IB8364,on-time
,112,112,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:21:20Z,17,catering,operation_data,IB8364,on-time
,113,113,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:15:20Z,48,boarding,operation_data,IB8364,delayed
,114,114,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:35:20Z,25,disembark,operation_data,IB4548,on-time
,115,115,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:01:20Z,34,cleaning,operation_data,IB4548,delayed
,116,116,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T21:48:20Z,21,fueling,operation_data,IB4548,on-time
,117,117,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T13:17:20Z,27,baggage,operation_data,IB4548,on-time
,118,118,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:01:20Z,23,catering,operation_data,IB4548,on-time
,119,119,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:02:20Z,48,boarding,operation_data,IB4548,on-time
,120,120,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T13:43:20Z,7,disembark,operation_data,IB2696,delayed
,121,121,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:10:20Z,20,cleaning,operation_data,IB2696,on-time
,122,122,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:00:20Z,24,fueling,operation_data,IB2696,on-time
,123,123,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:30:20Z,29,baggage,operation_data,IB2696,on-time
,124,124,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:04:20Z,29,catering,operation_data,IB2696,on-time
,125,125,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:06:20Z,50,boarding,operation_data,IB2696,on-time
,126,126,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:23:20Z,40,disembark,operation_data,IB6961,on-time
,127,127,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:55:20Z,44,cleaning,operation_data,IB6961,on-time
,128,128,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:56:20Z,39,fueling,operation_data,IB6961,on-time
,129,129,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:19:20Z,35,baggage,operation_data,IB6961,on-time
,130,130,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:21:20Z,13,catering,operation_data,IB6961,on-time
,131,131,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:47:20Z,6,boarding,operation_data,IB6961,on-time
,132,132,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:15:20Z,37,disembark,operation_data,IB5871,delayed
,133,133,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:30:20Z,24,cleaning,operation_data,IB5871,on-time
,134,134,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:31:20Z,34,fueling,operation_data,IB5871,on-time
,135,135,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:28:20Z,48,baggage,operation_data,IB5871,delayed
,136,136,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:19:20Z,18,catering,operation_data,IB5871,on-time
,137,137,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:44:20Z,41,boarding,operation_data,IB5871,on-time
,138,138,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T21:06:20Z,21,disembark,operation_data,IB7017,on-time
,139,139,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T11:46:20Z,42,cleaning,operation_data,IB7017,delayed
,140,140,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:15:20Z,20,fueling,operation_data,IB7017,on-time
,141,141,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:58:20Z,19,baggage,operation_data,IB7017,on-time
,142,142,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T01:19:20Z,23,catering,operation_data,IB7017,delayed
,143,143,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:10:20Z,31,boarding,operation_data,IB7017,on-time
,144,144,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:58:20Z,14,disembark,operation_data,IB2811,on-time
,145,145,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:53:20Z,18,cleaning,operation_data,IB2811,on-time
,146,146,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:23:20Z,35,fueling,operation_data,IB2811,on-time
,147,147,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:09:20Z,19,baggage,operation_data,IB2811,on-time
,148,148,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:10:20Z,16,catering,operation_data,IB2811,delayed
,149,149,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:32:20Z,24,boarding,operation_data,IB2811,on-time
,150,150,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:36:20Z,22,disembark,operation_data,IB5917,on-time
,151,151,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:42:20Z,21,cleaning,operation_data,IB5917,on-time
,152,152,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:31:20Z,19,fueling,operation_data,IB5917,on-time
,153,153,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:10:20Z,21,baggage,operation_data,IB5917,on-time
,154,154,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:19:20Z,21,catering,operation_data,IB5917,on-time
,155,155,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:28:20Z,8,boarding,operation_data,IB5917,on-time
,156,156,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:59:20Z,25,disembark,operation_data,IB5135,delayed
,157,157,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:10:20Z,27,cleaning,operation_data,IB5135,on-time
,158,158,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:18:20Z,42,fueling,operation_data,IB5135,on-time
,159,159,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:54:20Z,10,baggage,operation_data,IB5135,on-time
,160,160,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:32:20Z,10,catering,operation_data,IB5135,on-time
,161,161,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:33:20Z,11,boarding,operation_data,IB5135,on-time
,162,162,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:57:20Z,43,disembark,operation_data,IB3263,on-time
,163,163,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:28:20Z,18,cleaning,operation_data,IB3263,on-time
,164,164,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:33:20Z,32,fueling,operation_data,IB3263,on-time
,165,165,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:57:20Z,12,baggage,operation_data,IB3263,on-time
,166,166,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T22:38:20Z,45,catering,operation_data,IB3263,on-time
,167,167,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T09:05:20Z,36,boarding,operation_data,IB3263,on-time
,168,168,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:29:20Z,28,disembark,operation_data,IB9646,on-time
,169,169,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T21:34:20Z,20,cleaning,operation_data,IB9646,on-time
,170,170,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:52:20Z,31,fueling,operation_data,IB9646,on-time
,171,171,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:36:20Z,38,baggage,operation_data,IB9646,on-time
,172,172,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:17:20Z,13,catering,operation_data,IB9646,on-time
,173,173,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:32:20Z,27,boarding,operation_data,IB9646,on-time
,174,174,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T08:41:20Z,26,disembark,operation_data,IB8515,on-time
,175,175,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:20:20Z,31,cleaning,operation_data,IB8515,on-time
,176,176,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T09:55:20Z,30,fueling,operation_data,IB8515,on-time
,177,177,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T15:40:20Z,24,baggage,operation_data,IB8515,on-time
,178,178,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T22:09:20Z,30,catering,operation_data,IB8515,on-time
,179,179,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:08:20Z,34,boarding,operation_data,IB8515,delayed
,180,180,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:45:20Z,9,disembark,operation_data,IB4460,on-time
,181,181,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T22:53:20Z,50,cleaning,operation_data,IB4460,on-time
,182,182,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:49:20Z,46,fueling,operation_data,IB4460,delayed
,183,183,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:02:20Z,20,baggage,operation_data,IB4460,on-time
,184,184,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:07:20Z,17,catering,operation_data,IB4460,on-time
,185,185,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:26:20Z,28,boarding,operation_data,IB4460,on-time
,186,186,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:49:20Z,21,disembark,operation_data,IB6901,on-time
,187,187,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:39:20Z,9,cleaning,operation_data,IB6901,on-time
,188,188,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T21:16:20Z,33,fueling,operation_data,IB6901,on-time
,189,189,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:42:20Z,37,baggage,operation_data,IB6901,delayed
,190,190,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T00:27:20Z,9,catering,operation_data,IB6901,on-time
