#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,attraction_id,status
,26,26,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:19:35Z,56,cleaning,maintenance_data,AT491,pending
,27,27,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:52:35Z,71,safety_check,maintenance_data,AT491,completed
,28,28,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T04:08:35Z,19,software_update,maintenance_data,AT491,completed
,29,29,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:37:35Z,45,lubrication,maintenance_data,AT491,completed
,30,30,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:56:35Z,21,inspection,maintenance_data,AT211,completed
,31,31,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:05:35Z,15,repair,maintenance_data,AT211,pending
,32,32,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T16:14:35Z,53,cleaning,maintenance_data,AT211,pending
,33,33,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T20:48:35Z,30,safety_check,maintenance_data,AT211,completed
,34,34,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:55:35Z,85,software_update,maintenance_data,AT211,pending
,35,35,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:22:35Z,10,lubrication,maintenance_data,AT211,completed
,36,36,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:41:35Z,86,inspection,maintenance_data,AT945,completed
,37,37,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:31:35Z,11,repair,maintenance_data,AT945,pending
,38,38,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:17:35Z,80,cleaning,maintenance_data,AT945,completed
,39,39,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:37:35Z,38,safety_check,maintenance_data,AT945,pending
,40,40,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:53:35Z,70,software_update,maintenance_data,AT945,pending
,41,41,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:42:35Z,11,lubrication,maintenance_data,AT945,completed
,42,42,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T16:26:35Z,62,inspection,maintenance_data,AT816,completed
,43,43,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T04:49:35Z,13,repair,maintenance_data,AT816,pending
,44,44,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:57:35Z,77,cleaning,maintenance_data,AT816,pending
,45,45,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T01:41:35Z,45,safety_check,maintenance_data,AT816,pending
,46,46,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:07:35Z,30,software_update,maintenance_data,AT816,pending
,47,47,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:24:35Z,56,lubrication,maintenance_data,AT816,completed
,48,48,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:43:35Z,38,inspection,maintenance_data,AT554,completed
,49,49,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T16:08:35Z,82,repair,maintenance_data,AT554,completed
,50,50,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:56:35Z,88,cleaning,maintenance_data,AT554,pending
,51,51,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:55:35Z,52,safety_check,maintenance_data,AT554,completed
,52,52,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:37:35Z,37,software_update,maintenance_data,AT554,completed
,53,53,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:48:35Z,47,lubrication,maintenance_data,AT554,pending
,54,54,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:37:35Z,85,inspection,maintenance_data,AT101,completed
,55,55,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T11:01:35Z,15,repair,maintenance_data,AT101,pending
,56,56,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:28:35Z,14,cleaning,maintenance_data,AT101,completed
,57,57,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:31:35Z,17,safety_check,maintenance_data,AT101,completed
,58,58,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:39:35Z,18,software_update,maintenance_data,AT101,completed
,59,59,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:16:35Z,55,lubrication,maintenance_data,AT101,completed
,60,60,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T04:28:35Z,35,inspection,maintenance_data,AT573,pending
,61,61,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:27:35Z,47,repair,maintenance_data,AT573,completed
,62,62,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:28:35Z,36,cleaning,maintenance_data,AT573,pending
,63,63,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T11:40:35Z,63,safety_check,maintenance_data,AT573,completed
,64,64,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:12:35Z,46,software_update,maintenance_data,AT573,completed
,65,65,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T01:07:35Z,63,lubrication,maintenance_data,AT573,completed
,66,66,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:17:35Z,80,inspection,maintenance_data,AT624,completed
,67,67,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:55:35Z,70,repair,maintenance_data,AT624,pending
,68,68,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:34:35Z,10,cleaning,maintenance_data,AT624,completed
,69,69,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T01:30:35Z,11,safety_check,maintenance_data,AT624,completed
,70,70,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:13:35Z,14,software_update,maintenance_data,AT624,pending
,71,71,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:58:35Z,64,lubrication,maintenance_data,AT624,completed
,72,72,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:54:35Z,45,inspection,maintenance_data,AT198,pending
,73,73,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T20:50:35Z,12,repair,maintenance_data,AT198,pending
,74,74,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:56:35Z,16,cleaning,maintenance_data,AT198,pending
,75,75,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:12:35Z,57,safety_check,maintenance_data,AT198,completed
,76,76,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T20:37:35Z,26,software_update,maintenance_data,AT198,completed
,77,77,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:39:35Z,34,lubrication,maintenance_data,AT198,completed
,78,78,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:39:35Z,52,inspection,maintenance_data,AT281,pending
,79,79,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:08:35Z,66,repair,maintenance_data,AT281,pending
,80,80,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:42:35Z,36,cleaning,maintenance_data,AT281,pending
,81,81,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:50:35Z,69,safety_check,maintenance_data,AT281,pending
,82,82,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T20:14:35Z,15,software_update,maintenance_data,AT281,pending
,83,83,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:56:35Z,39,lubrication,maintenance_data,AT281,completed
,84,84,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:41:35Z,80,inspection,maintenance_data,AT830,completed
,85,85,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T01:27:35Z,10,repair,maintenance_data,AT830,completed
,86,86,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:50:35Z,23,cleaning,maintenance_data,AT830,pending
,87,87,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:07:35Z,34,safety_check,maintenance_data,AT830,completed
,88,88,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:19:35Z,29,software_update,maintenance_data,AT830,completed
,89,89,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:08:35Z,75,lubrication,maintenance_data,AT830,completed
,90,90,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:20:35Z,16,inspection,maintenance_data,AT630,completed
,91,91,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:14:35Z,74,repair,maintenance_data,AT630,pending
,92,92,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T11:40:35Z,44,cleaning,maintenance_data,AT630,pending
,93,93,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:44:35Z,22,safety_check,maintenance_data,AT630,completed
,94,94,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:03:35Z,27,software_update,maintenance_data,AT630,completed
,95,95,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:06:35Z,84,lubrication,maintenance_data,AT630,completed
,96,96,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:08:35Z,38,inspection,maintenance_data,AT427,pending
,97,97,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:01:35Z,51,repair,maintenance_data,AT427,completed
,98,98,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:06:35Z,70,cleaning,maintenance_data,AT427,pending
,99,99,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T04:23:35Z,13,safety_check,maintenance_data,AT427,completed
,100,100,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:03:35Z,74,software_update,maintenance_data,AT427,completed
,101,101,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:58:35Z,84,lubrication,maintenance_data,AT427,completed
,102,102,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:48:35Z,54,inspection,maintenance_data,AT832,pending
,103,103,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:11:35Z,76,repair,maintenance_data,AT832,completed
,104,104,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:55:35Z,72,cleaning,maintenance_data,AT832,completed
,105,105,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:19:35Z,28,safety_check,maintenance_data,AT832,completed
,106,106,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:15:35Z,61,software_update,maintenance_data,AT832,completed
,107,107,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:02:35Z,48,lubrication,maintenance_data,AT832,completed
,108,108,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:28:35Z,78,inspection,maintenance_data,AT545,completed
,109,109,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:31:35Z,26,repair,maintenance_data,AT545,completed
,110,110,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T21:58:35Z,75,cleaning,maintenance_data,AT545,pending
,111,111,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:41:35Z,58,safety_check,maintenance_data,AT545,pending
,112,112,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:43:35Z,32,software_update,maintenance_data,AT545,completed
,113,113,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:12:35Z,31,lubrication,maintenance_data,AT545,pending
,114,114,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:21:35Z,53,inspection,maintenance_data,AT437,pending
,115,115,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:00:35Z,61,repair,maintenance_data,AT437,completed
,116,116,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:00:35Z,41,cleaning,maintenance_data,AT437,pending
,117,117,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:38:35Z,63,safety_check,maintenance_data,AT437,completed
,118,118,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:39:35Z,32,software_update,maintenance_data,AT437,completed
,119,119,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:39:35Z,45,lubrication,maintenance_data,AT437,completed
,120,120,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:25:35Z,35,inspection,maintenance_data,AT654,pending
,121,121,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:37:35Z,24,repair,maintenance_data,AT654,pending
,122,122,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:01:35Z,16,cleaning,maintenance_data,AT654,completed
,123,123,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:42:35Z,83,safety_check,maintenance_data,AT654,completed
,124,124,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:17:35Z,18,software_update,maintenance_data,AT654,completed
,125,125,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:11:35Z,40,lubrication,maintenance_data,AT654,completed
,126,126,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:35:35Z,54,inspection,maintenance_data,AT560,completed
,127,127,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:22:35Z,76,repair,maintenance_data,AT560,completed
,128,128,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T11:39:35Z,35,cleaning,maintenance_data,AT560,completed
,129,129,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T00:41:35Z,24,safety_check,maintenance_data,AT560,completed
,130,130,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:56:35Z,80,software_update,maintenance_data,AT560,completed
,131,131,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:29:35Z,58,lubrication,maintenance_data,AT560,completed
,132,132,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T16:28:35Z,27,inspection,maintenance_data,AT492,completed
,133,133,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:30:35Z,66,repair,maintenance_data,AT492,completed
,134,134,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:07:35Z,70,cleaning,maintenance_data,AT492,pending
,135,135,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:21:35Z,67,safety_check,maintenance_data,AT492,pending
,136,136,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:50:35Z,65,software_update,maintenance_data,AT492,pending
,137,137,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:01:35Z,21,lubrication,maintenance_data,AT492,completed
,138,138,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:59:35Z,45,inspection,maintenance_data,AT344,pending
,139,139,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T21:10:35Z,19,repair,maintenance_data,AT344,completed
,140,140,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:40:35Z,37,cleaning,maintenance_data,AT344,pending
,141,141,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:42:35Z,49,safety_check,maintenance_data,AT344,completed
,142,142,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T01:34:35Z,68,software_update,maintenance_data,AT344,completed
,143,143,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:01:35Z,66,lubrication,maintenance_data,AT344,completed
,144,144,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:20:35Z,89,inspection,maintenance_data,AT252,completed
,145,145,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:49:35Z,37,repair,maintenance_data,AT252,completed
,146,146,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:05:35Z,78,cleaning,maintenance_data,AT252,pending
,147,147,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:05:35Z,10,safety_check,maintenance_data,AT252,completed
,148,148,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:54:35Z,51,software_update,maintenance_data,AT252,pending
,149,149,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:24:35Z,31,lubrication,maintenance_data,AT252,completed
,150,150,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:00:35Z,30,inspection,maintenance_data,AT380,completed
,151,151,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:17:35Z,49,repair,maintenance_data,AT380,completed
,152,152,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T21:10:35Z,18,cleaning,maintenance_data,AT380,completed
,153,153,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T19:03:35Z,85,safety_check,maintenance_data,AT380,pending
,154,154,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T00:45:35Z,71,software_update,maintenance_data,AT380,completed
,155,155,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T11:50:35Z,52,lubrication,maintenance_data,AT380,pending
,156,156,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:21:35Z,17,inspection,maintenance_data,AT646,completed
,157,157,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:08:35Z,71,repair,maintenance_data,AT646,completed
,158,158,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:20:35Z,74,cleaning,maintenance_data,AT646,completed
,159,159,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:45:35Z,13,safety_check,maintenance_data,AT646,completed
,160,160,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:03:35Z,49,software_update,maintenance_data,AT646,completed
,161,161,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:42:35Z,62,lubrication,maintenance_data,AT646,completed
,162,162,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:22:35Z,75,inspection,maintenance_data,AT689,completed
,163,163,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:28:35Z,15,repair,maintenance_data,AT689,completed
,164,164,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:10:35Z,59,cleaning,maintenance_data,AT689,pending
,165,165,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:59:35Z,17,safety_check,maintenance_data,AT689,completed
,166,166,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:11:35Z,73,software_update,maintenance_data,AT689,completed
,167,167,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:27:35Z,72,lubrication,maintenance_data,AT689,completed
,168,168,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:10:35Z,83,inspection,maintenance_data,AT310,completed
,169,169,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T12:33:35Z,86,repair,maintenance_data,AT310,pending
,170,170,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:02:35Z,60,cleaning,maintenance_data,AT310,completed
,171,171,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:37:35Z,80,safety_check,maintenance_data,AT310,completed
,172,172,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:18:35Z,73,software_update,maintenance_data,AT310,completed
,173,173,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:37:35Z,74,lubrication,maintenance_data,AT310,completed
,174,174,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:48:35Z,12,inspection,maintenance_data,AT856,pending
,175,175,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T08:23:35Z,55,repair,maintenance_data,AT856,completed
,176,176,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:08:35Z,27,cleaning,maintenance_data,AT856,completed
,177,177,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:58:35Z,67,safety_check,maintenance_data,AT856,completed
,178,178,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:18:35Z,24,software_update,maintenance_data,AT856,completed
,179,179,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:20:35Z,57,lubrication,maintenance_data,AT856,pending
,180,180,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T23:13:35Z,69,inspection,maintenance_data,AT442,completed
,181,181,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:57:35Z,54,repair,maintenance_data,AT442,completed
,182,182,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:03:35Z,11,cleaning,maintenance_data,AT442,pending
,183,183,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:15:35Z,21,safety_check,maintenance_data,AT442,completed
,184,184,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:00:35Z,31,software_update,maintenance_data,AT442,completed
,185,185,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:02:35Z,66,lubrication,maintenance_data,AT442,pending
,186,186,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T16:21:35Z,63,inspection,maintenance_data,AT703,completed
,187,187,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:13:35Z,19,repair,maintenance_data,AT703,pending
,188,188,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:37:35Z,13,cleaning,maintenance_data,AT703,completed
,189,189,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T05:02:35Z,21,safety_check,maintenance_data,AT703,completed
